EPA Facility ID,Has Accident,Accident Count,Accident History ID,Date of Accident,Time Accident Began,NAICS Code of Process Involved,NAICS Description,Release Duration (Hours),Release Duration (Minutes),Gas Release,Liquid Spill/Evaporation,Fire,Explosion,Uncontrolled/Runaway Reaction,Storage Vessel,Piping,Process Vessel,Transfer Hose,Valve,Pump,Joint,Other Release Source,Wind Speed,Wind Speed Units,Wind Direction,Temperature,Atmospheric Stability Class,Precipitation Present,Unknown Weather Conditions,Employee/Contractor Deaths,Public Responder Deaths,Public Deaths,Employee/Contractor Injuries,Public Responder Injuries,Public Injuries,On-Site Property Damage ($),Off-Site Deaths,Off-Site Hospitalizations,Off-Site Public Deaths,Off-Site Other Medical Treatments,Evacuated,Sheltered-in-Place,Off-Site Property Damage ($),Fish or Animal Kills,"Tree, Lawn, Shrub, or Crop Damage",Water Contamination,Soil Contamination,Other Environmental Damage,Initiating Event,Contributing - Equipment Failure,Contributing - Human Error,Contributing - Improper Procedures,Contributing - Overpressurization,Contributing - Upset Condition,Contributing - By-Pass Condition,Contributing - Maintenance Activity/Inactivity,Contributing - Process Design Failure,Contributing - Unsuitable Equipment,Contributing - Unusual Weather Condition,Contributing - Management Error,Contributing - Other,Off-Site Responders Notified,Change - Improved/Upgraded Equipment,Change - Revised Maintenance,Change - Revised Training,Change - Revised Operating Procedures,Change - New Process Controls,Change - New Mitigation Systems,Change - Revised Emergency Response Plan,Change - Changed Process,Change - Reduced Inventory,Change - None,Change - Other,Quantity Released (lbs),Percent Weight,Chemical Name,CAS Number,Flammable/Toxic
100000135043,Yes,3,3,Jul-04,13:30,325131,Inorganic Dye and Pigment,000,01,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,N,N/A,Yes,0,0,0,2,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Hose ruptured,"No, not notified",Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,New hose and examine all.,10,100,Titanium tetrachloride  [Titanium,7550-45-0,Toxic
100000145363,Yes,1,1,Feb-95,9:15,11511,Support Activities for Crop Production,002,15,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,1.5,Meters/second,S,75,D,N/A,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,Yes,N/A,Yes,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,4100,,Ammonia (anhydrous),7664-41-7,Toxic
100000155716,Yes,1,1,Jan-22,19:55,311615,Poultry Processing,000,11,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,7,N/A,S,50,N,N/A,N/A,0,0,0,2,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,4456,100,Ammonia (anhydrous),7664-41-7,Toxic
100000165812,Yes,1,1,Nov-03,6:10,311511,Fluid Milk Manufacturing,000,10,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,,Meters/second,N/A,,N,N/A,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,,Ammonia (anhydrous),7664-41-7,Toxic
100000171823,Yes,1,1,Sep-23,12:30,32211,Pulp Mills,000,01,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,11,Miles/h,N,84,N,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No, not notified",Yes,N/A,Yes,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,9,1,Chlorine dioxide  [Chlorine oxide,10049-04-4,Toxic
100000187237,Yes,3,1,May-05,17:00,311615,Poultry Processing,009,00,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,,Meters/second,N/A,,N,N/A,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No, not notified",Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49,,Ammonia (anhydrous),7664-41-7,Toxic
100000187237,Yes,3,2,Nov-03,13:50,311615,Poultry Processing,000,34,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,,Meters/second,N/A,,N,N/A,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,,Ammonia (anhydrous),7664-41-7,Toxic
100000187237,Yes,3,3,Nov-02,21:00,311615,Poultry Processing,000,30,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,,Meters/second,N/A,,D,N/A,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,None,Equipment Failure,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Fulton County LEPC,,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sent operators to Lanier Tech. training,,,,,
100000212469,Yes,1,1,Oct-22,23:25,42441,General Line Grocery Merchant,001,57,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,0.1,Miles/h,N,63,F,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,1700,100,Ammonia (anhydrous),7664-41-7,Toxic
100000222109,Yes,1,1,Jul-14,3:36,31192,Coffee and Tea Manufacturing,000,10,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Auto Purger Water Supply Orifice,6,Miles/h,SSW,75,N,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No, not notified",N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,100,Ammonia (anhydrous),7664-41-7,Toxic
100000234061,Yes,1,1,Aug-20,9:39,42471,Petroleum Bulk Stations and Terminals,001,32,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,3,Miles/h,N/A,80,N,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,25,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7850,,Butane,106-97-8,Flammable
100000243676,Yes,1,1,Aug-20,22:00,31141,Frozen Food Manufacturing,000,04,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,5.5,Miles/h,SW,76,D,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,Estimate 150 pounds of the total to the,Human Error,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pipe opening procedure for utility piping,428,100,Ammonia (anhydrous),7664-41-7,Toxic
100000077757,Yes,1,1,Apr-22,17:30,22121,Natural Gas Distribution,001,00,N/A,Yes,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,5,Miles/h,ENE,76,D,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No, not notified",N/A,Yes,Yes,Yes,N/A,Yes,N/A,N/A,N/A,N/A,Chemicals in Accident History,10,,Pentane,109-66-0,Flammable
100000108787,Yes,1,1,Apr-10,21:00,221112,Fossil Fuel Electric Power Generation,000,01,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,5,Miles/h,SSW,77,E,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,"No, not notified",Yes,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,5,99,Ammonia (anhydrous),7664-41-7,Toxic
100000199313,Yes,1,1,Aug-16,22:20,54171,Research and Development in the,000,10,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,5,Miles/h,NE,78,F,N/A,N/A,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,"No, not notified",Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
100000219925,Yes,1,1,Sep-16,7:05,42469,Other Chemical and Allied Products,042,00,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,5,Miles/h,NE,78,N,N/A,N/A,0,0,0,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,100,Chlorine,7782-50-5,Toxic
100000003907,Yes,1,1,Jan-23,16:00,311611,Animal (except Poultry) Slaughtering,000,01,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,,N/A,N/A,,N,N/A,Yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,"No, not notified",N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,100,Ammonia (anhydrous),7664-41-7,Toxic
100000004746,Yes,1,1,Jul-21,22:45,11115,Corn Farming,004,00,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,Miles/h,NE,83,F,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tampering,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,More frequent monitoring for people,1120,15,Ammonia (anhydrous),7664-41-7,Toxic
100000004817,Yes,1,1,May-19,1:05,42491,Farm Supplies Merchant Wholesalers,001,20,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,9,Miles/h,N,,F,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,1,100,Ammonia (anhydrous),7664-41-7,Toxic
100000012871,Yes,4,1,Feb-22,0:00,311999,All Other Miscellaneous Food,000,15,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,10,Miles/h,SE,35,N,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No, not notified",N/A,Yes,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,197,99,Ammonia (anhydrous),7664-41-7,Toxic
100000012871,Yes,4,2,Jun-17,9:30,325199,All Other Basic Organic Chemical,000,06,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,4,Miles/h,N,81,A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No, not notified",Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79,99,Ammonia (anhydrous),7664-41-7,Toxic
100000012871,Yes,4,3,Jan-14,13:07,311999,All Other Miscellaneous Food,000,42,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,25,Miles/h,WNW,7,D,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,62,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,"No, not notified",N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,359,100,Ammonia (anhydrous),7664-41-7,Toxic
100000012871,Yes,4,4,Jul-12,12:50,311999,All Other Miscellaneous Food,000,25,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,8.1,Miles/h,SSW,93,B,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No, not notified",Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Any new ammonia vessels to be rated,830,100,Ammonia (anhydrous),7664-41-7,Toxic
100000019847,Yes,1,1,Dec-19,22:42,42491,Farm Supplies Merchant Wholesalers,000,38,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nurse tank,18,Miles/h,WNW,40,N,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,5,0,0,N/A,N/A,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,attempted theft per local law,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Implemented policy to ensure closing of,2,99,Ammonia (anhydrous),7664-41-7,Toxic
100000036187,Yes,2,1,Dec-20,9:15,325311,Nitrogenous Fertilizer Manufacturing,000,01,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample Port,10,Miles/h,SE,28,B,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Adverse work environment,"No, not notified",Yes,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,Determine if a new sampling location,1,100,Ammonia (anhydrous),7664-41-7,Toxic
100000036187,Yes,2,2,Apr-19,20:00,325311,Nitrogenous Fertilizer Manufacturing,000,01,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,10,Miles/h,NNW,46,E,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,
100000039175,Yes,1,1,Feb-21,2:00,11511,Support Activities for Crop Production,000,01,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Toolbar Screen,0.1,Miles/h,E,50,B,N/A,N/A,0,0,0,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No, not notified",N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,100,Ammonia (anhydrous),7664-41-7,Toxic
100000047898,Yes,1,1,Dec-22,16:50,42491,Farm Supplies Merchant Wholesalers,000,01,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,12,Miles/h,W,28,F,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No, not notified",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Re-training employee,1,99,Ammonia (anhydrous),7664-41-7,Toxic
100000056823,Yes,1,1,May-14,12:30,42491,Farm Supplies Merchant Wholesalers,000,30,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Section of piping containing strainer,8,Miles/h,SSE,74,B,N/A,N/A,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,Yes,N/A,Yes,Yes,N/A,Equipment Failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Prior to this event,  consideration was",100,82,Ammonia (anhydrous),7664-41-7,Toxic
100000058073,Yes,1,1,Sep-17,7:19,42491,Farm Supplies Merchant Wholesalers,004,30,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nurse tank,1,Miles/h,ESE,52,D,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,27,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3731,99,Ammonia (anhydrous),7664-41-7,Toxic
100000059054,Yes,2,1,Apr-22,6:30,42491,Farm Supplies Merchant Wholesalers,048,00,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,Nurse Tank,111,Miles/h,W,38,A,Yes,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,Yes,N/A,N/A,Natural(Weather Conditions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,9328,99,Ammonia (anhydrous),7664-41-7,Toxic
100000059054,Yes,2,2,Apr-19,9:26,42491,Farm Supplies Merchant Wholesalers,005,14,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,14,Miles/h,W,64,F,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,47,0,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Damage caused by extended applicator,,,,,,,,,,,,,,,,,
100000070497,Yes,2,1,Feb-22,10:00,42491,Farm Supplies Merchant Wholesalers,000,01,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Raven AccuFlow Cooler on Applicator,21,Miles/h,N,11,F,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,Yes,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,,N/A,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,100,Ammonia (anhydrous),7664-41-7,Toxic
100000070497,Yes,2,2,Nov-21,8:55,42491,Farm Supplies Merchant Wholesalers,000,01,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,applicator hose,10,Miles/h,E,47,D,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,
100000071325,Yes,1,1,Aug-23,14:00,42491,Farm Supplies Merchant Wholesalers,000,01,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,Miles/h,SW,103,C,N/A,N/A,0,0,0,0,0,0,300000,0,0,0,0,0,40,1000,N/A,Yes,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6347,99,Ammonia (anhydrous),7664-41-7,Toxic
100000072128,Yes,1,1,Oct-23,11:30,42451,Grain and Field Bean Merchant,002,49,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,Miles/h,SSW,67,F,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,900,3,Ammonia (anhydrous),7664-41-7,Toxic
100000075697,Yes,1,1,Jun-23,13:15,42491,Farm Supplies Merchant Wholesalers,000,30,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pressure relief valve,3,Miles/h,W,77,F,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,105,99,Ammonia (anhydrous),7664-41-7,Toxic
100000075919,Yes,1,1,Jan-18,23:00,32518,Other Basic Inorganic Chemical,000,01,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,13,Miles/h,WNW,34,D,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No, not notified",Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
100000079684,Yes,1,1,Aug-11,12:00,311511,Fluid Milk Manufacturing,000,02,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,,Miles/h,N/A,,N,N/A,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Human Error,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No, not notified",N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,100,Ammonia (anhydrous),7664-41-7,Toxic
100000084703,Yes,1,1,Oct-13,17:15,22131,Water Supply and Irrigation Systems,000,15,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,20,Miles/h,N,68,B,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,100,Chlorine,7782-50-5,Toxic
100000085374,Yes,1,1,Nov-09,9:23,42491,Farm Supplies Merchant Wholesalers,000,41,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,3,Miles/h,WSW,37,F,N/A,N/A,0,0,0,0,0,0,0,0,0,0,1,4,0,0,N/A,N/A,N/A,Yes,N/A,Equipment Failure,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1288,100,Ammonia (anhydrous),7664-41-7,Toxic
100000091456,Yes,1,1,Sep-18,9:55,42491,Farm Supplies Merchant Wholesalers,012,55,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,Miles/h,SE,66,F,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,500,45,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22000,99,Ammonia (anhydrous),7664-41-7,Toxic
100000091982,Yes,1,1,Aug-97,5:00,42291,Farm Supplies Wholesalers,000,45,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,2,Miles/h,N,55,B,N/A,N/A,0,0,0,0,0,0,1163,0,0,0,0,0,0,1162,N/A,Yes,N/A,Yes,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9540,99,Ammonia (anhydrous),7664-41-7,Toxic
100000092044,Yes,1,1,Apr-15,12:10,42491,Farm Supplies Merchant Wholesalers,008,00,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,15,Miles/h,ESE,55,D,Yes,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,Equipment Failure,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500,82,Ammonia (anhydrous),7664-41-7,Toxic
